variations,price,rating_star,comment
[''],[3700000000],4,"Shop giao hàng nhanh, đóng gói cẩn thận. Tuy nhiên sản phẩm Bông rửa mặt tẩy trang ko giống hình, nhắn hỏi shop thì shop nói đợt này chỉ về loại này, rồi kêu bấm trả hàng hoàn tiền nhưng mình thấy thôi kệ nhưng shop ko nói trước. Ai mua nhớ nhắn hỏi shop coi đợt hàng về có giống hình ko nha."
[''],[3700000000],5,"Ship nhanh, đủ món, mask hơi có mùi hoá học lúc mở, bôi lên da hơi châm chích ban đầu, chắc mình sẽ không dám mua lần nữa huhu "
[''],[3975000000],5,"shop giao đủ hàng. giá rẻ. sp y hình. lười chụp😂
tiện thể b nào có nhu cầu tăng cân, giảm cân an toàn 3-9kg/ tháng ghé fb mình nha☺️
https://www.facebook.com/anhh.biigayy"
[''],[3975000000],5,"Giao nhanh lắm , chưa sử dụng nên chưa bt ,mùi thơm ,  còn đc tặng đồ cuộc tóc nx , rất thích 😻👍😍👍😍😻😻😍👍😍😍👍😻😍😻😍👍😍👍😍😻😍😻"
[''],[3700000000],5,"Lần đầu tiên mua đồ ở shop mà mua nhiều quá trời do thấy giá rẻ và đồ nhìn cũng dễ thương. Ấn tượng ban đầu là giao hàng cũng nhanh, gói hàng cẩn thận, sản phẩm ko bị móp méo hay hư hỏng. Nhìn chung thì tất cả đều ổn nhưng chưa sử dụng"
[''],[3975000000],5,Hũ mặt nạ nhỏ xinh. Có tem 7 màu. Chắc là hàng chính hãng. Chất lượng chưa dùng nên chưa đánh giá được .
[''],[3700000000],5,"- đắp xong thấy da khá mịn 
Khá ưng vs sp của shop "
[''],[3975000000],5,"Hình ảnh mang tính chất nhận xu 
Nhưng mà hàng rất tốt nha, giao nhanh, nên muaaaaa 
"
[''],[3700000000],5,Em cảm thấy rất vui được làm gì mà ăn cơm với canh chua với cá nhân có thể làm gì mà không biết là anh không em cảm thấy rất là nhiều nha em đi học không em đi làm về rồi em đi học không 
[''],[3975000000],5,Kvxk saivad vpuvsuocudpdavv adb adda lcalj bjlabcbbfa bfa ibca bìa lpuvad puvalj axlj xạo axjvlax lj
[''],[3700000000],5,"Khá ok ạ
Giao hàng siu nhanh , có 1 ngày thui à
Jcndidnckfnfkfnfjnfnckcndndk"
[''],[3700000000],5,"Mua 2 lọ về dùng thử xem sao. Thấy mùi cũng ok, dễ ngửi. Màu lọ xinh :))) mong là k bị kích ứng"
[''],[3700000000],5,"Dichhxkgxjtdjgd gì mgxjgxjtjgdkhjgfkhfuxjfshfsjfskfhfzjgdzkhfHfzhrFzjg,fgigkh gì uyfjvihcryxihvgxut gctdxytvg. Ứng huug igyfu ugcyrxigurd y gửi jg ug"
[''],[3975000000],5,"Thơm nma hơi lồng mùi hóa học
Giao hàng nhanh
Gói hàng cũng okla lắm nha mng
"
[''],[3700000000],4,Vì là san sale nên khoing biể sản phẩm tốt không lần đầu mua của shop nen cubg kb chất lượng
[''],[3700000000],5,"Rất chất lượngggggg
Dùng okeeeee
Nhưng không biệt sau này thế nào
Nói chung oce"
[''],[3700000000],5,Okokokokoooooooookokxuccuucivihxjtxkyzjyxyxukccykycckxkucji4oeoejebjskwkwbejsjeebe
[''],[3700000000],5,Mua nhiều thứ shop giao đủ hàng. Đúng hàng. Shop Giao hàng nhanh. 
[''],[3700000000],5,"Ảnh và video không liên quan. Đóng gói chắc chắn, bao bì đẹp. "
[''],[3900000000],5,Jsjjsjsnssjsjsndjsndnsndnsbdbhfuivjvjvucychcjcicucufugigigigififuxyfyfu.du.fufifgvvcggvgbvbavva a avaba avbababavabsvsvbsbsvshsbsbshbsvshsbsbshsbsbzbzbshbsbsshbsbshsnsbsjsnsnsbshhshshsnnshdjdhdhd
[''],[3375000000],5,Mặt nạ đắp thích lắm . Da mịn mà sáng hẳn lên sẽ quay lại ủng hộ shop ..mua trên live nên dc tăng thewm miếng mặt nạ nhau thai thank shop 
[''],[3700000000],5,"Mua shop này nhìu lần lắm rồi,hàng của shop ổn áp,giá rẻ giao hàng nhanh,t thử quay trong cây tưởng đẹp ai dè pheo thiệt là pheo,shipper rất okela là"
[''],[3975000000],5,Lúc đầu hơi xót mùi trà xanh hóa học rửa xong cũng thấy da mịn hơn mụn thành nhân nhanh hơn cũng ok đấy
[''],[3975000000],5,thơm lắm mn ạ mặt căng bóng lun mọi người ơi
[''],[3975000000],5,"Chưa dùng nhưng có mùi thơm, hộp chắc chắn "
[''],[3700000000],5,"Chất lượng sản phẩm tuyệt vời, đóng gói sản phầm rất đẹp và chắc chắn"
[''],[3700000000],5,"Chưa dùng nên chưa biết thế nào, nhưng đặt rất nhiều hàng mà shop cũng lấy đủ đúng từng loại luôn. Lần sau sẽ ủng hộ shop tiếp "
[''],[3975000000],5,Giao hàng kh nhanh lắm đóng gói kĩ có quà tặng của shop nữa      Zzzz
[''],[3700000000],5,"Thơm cực kì , chưa sử dụng chưa biết chất lượng , giao nhanh , đóng gói tốt"
[''],[3975000000],5,Duy yêu cầu của t à mà giờ đây đã cám ơn bạn đã bị khoá tài khoản luôn luôn có một số người dân ở đây là một trong những gì
[''],[3700000000],5,Citdykydkhkxgidyidgkdgkdgjdgjdgjdgisfjzjfzjfxfjzfuzfusgixhochocyochocogcigxgixgj
[''],[3975000000],5,"Đóng gói sản phẩm sơ sài, còn không cho hộp đựng các sản phẩm, mặt nạ thì gập nhỏ lại trông nát như vậy. Hộp mặt nạ trà xanh k thơm lắm
Ship hàng nhanh
Chất lượng sản phẩm thì chưa sử dụng nên chưa biết "
[''],[3975000000],5,Shop nhiệt tình lắm luôn. Gói hàng cẩn thận và chứ đáo. Minh sẽ ủng hộ tiếp ạ
[''],[3700000000],5,Qưertyuioplkjhgfdsazxcvbnmqwertyuioplkjhgfdsazxcvbnm
[''],[3700000000],5,"Hàng y như hình, chưa có test thử 
Giao hàng nhanh............"
[''],[3700000000],5,Mùi hơi hóa học. Dùng xong sẽ thay đổi đánh giá sau Mùi hơi hóa học. Dùng xong sẽ thay đổi đánh giá sau
[''],[3975000000],5,"Giao hàng nhanh, đúng số lượng đã đặttttttttttttttttttttttttt"
[''],[3700000000],5,Shop giao đủ hàng. Khi nào xài sẽ feedback sau ^^🥰🥰🥰🥰🥰. Hình ảnh mang tc nhận xu ạ
[''],[3700000000],5,"đóng gói hàng kĩ, lúc đầu đắp hơi rát và tê. mình dùng senka + mặt nạ thấy đỡ mụn hơn trước."
[''],[3975000000],5,ksshzuks ácfâkkâvzadạka xấtbsfãgâdtaja ãdúknấhhhhhhsfsuâkbx
[''],[3975000000],5,"Giao hàng nhanh 
Mặt nạ hơi loảng so với hình ảnh quảng cáo  nhưng vẫn ok"
[''],[3900000000],5,"Mặt nạ có mùi thơm trà xanh, mềm mịn, chưa sd nên chưa biết. Shop còn tặng cột tóc nữa ạ. Giao hàng nhanh "
[''],[3975000000],5,"Hinh ảh mag tíh lấy xu, sp tốt thì lần sau ủg hộ tiếp, ưg cái đóg gói kĩ"
[''],[3700000000],5,"Giao hàng nhanh, đóng gói khá ok. Mặt nạ chất mịn đắp xong khá mướt"
[''],[3975000000],5,sản phẩm ok phải biết mặc dù shop xa nhà nhưng cỡ 1-2 ngày là có hàng rồi sẽ còn ủng hộ shop dài dài ạ sp xài tốt lắm nha
[''],[3700000000],5,"Thơm mùi trà xanh thích dã man luôn ấy ạ, shop gói hàng siêu nhanh, lại còn tặng kèm cái dây buộc tóc nữa 🥺"
[''],[3750000000],5,Sản phẩm dùng rất thích nhưng theo mk là nó hơi rát ở mũi á . Sẽ mua lại ☺️☺️
[''],[3975000000],5,Hộp hơi nhỏ nhưng như vậy là hợp với giá tiền ruii. Gói hàng cẩn thận. Shop còn tặng thêm chun buộc tóc nữa💓
[''],[3700000000],5,"Lọ này thơm mùi trà xanh nha mọi người, đắp lên mát mát , nhưng lúc sau hơi châm chích mặt 1 chuat nhưng vẫn ok lắm"
[''],[3975000000],5,"Meeeeeeeeeeeeeeeweeeeeeeeeeeeeeeeeeeeeê mệttttttttttttttttttttttttttttttttttttttttttttttttttt luôn ýyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy❤❤
Rất đáng để thử luônnnnnnnnnnnnnnnnnnnnnnn"
[''],[3700000000],5,Nhỏ hơn mình tưởng khá nhẹ chưa sài nhưng thấy đóng gói khá cẩn thận ok
[''],[3700000000],5,"Y như hình, mang lại cảm giác mát lạnh cho da, rất tốt luôn á, sẽ luôn ủng hộ shop"
[''],[3700000000],5,Đắp có cảm giác bị châm chích ko hiểu tại sao Ffvwvwjw8icjebwbwnkxoa0oquqhebbcicicyyxt
[''],[3700000000],5,Fgkkkgfkkgdyjlgdjjtfhjkhfgnjjgfgjhffhgffdhkkcgjfddh
[''],[3700000000],5,Mùi thơm lắm ạ. Chưa dùng nên chưa biết chật lượng như thế nào. 
[''],[3800000000],5,"Bình luận mang tính chất nhận xu
Jsksksksksksksmdnsnjhfbdnrmdkfkkfkfkdkfkfkfk"
[''],[3375000000],5,"Shop giao hàng nhanh, mùi sản phẩm khá thơm, còn hiệu quả phải sd xem sao đã "
[''],[3900000000],5,"Mua mấy lần của shop rồi mà vẫn ưng lắm :3,  để tủ lạnh đắp mát lắm ý"
[''],[3975000000],5,"Shop giao đủ hàng. Đồ đc đóng gói cẩn thận, nhìn xịn lắm nhaaa!"
[''],[3700000000],5,Hbrbdndjndbdvdhdhdbbdvdbxjxksjsbgsgxbdbdgxhxbxbxbxbxbdhdnn
[''],[3800000000],5,"hình ảnh chỉ mang tính chất nhận xu
hàng ok, đóng gói cẩn thận, chưa sd nên chưa biết"
[''],[3700000000],5,Sản phẩm rất oke nên mua nhé mọi người đóng gói cẩn thận giao hàng nhanh sản phẩm tốt chất lượng nha mn
[''],[3975000000],3,"Mask này cũng được mà không có muỗng để lấy mask đâu á moinguoi phải tự mua đó
Lúc đầu đắp thì thấy hơi châm chích mà được lúc là hết à"
