variations,price,rating_star,comment
['Tím-Unscented -9119'],[24200000000],5,Mình thấy bên này có chứng nhận của Dear Klairs nên mua đây cũnh là lần đầu. Lúc nhận hàng thấy bọc khá kĩ lưỡng còn có 1 chiếc ktr tặng kèm cộng điểm nha. Thấy date lâu tận 2024 á. Gói kĩ mà vẫn bẹt tí ở góc vỏ nhưng ksao monh chất lượng sp tốt
['Nâu-Facial - 5012'],[23100000000],5,"Hàng như hình, mùi khá thơm. Shop tặng thêm khẩu trang y tế cho đơn của mình nữa. Mùi klairs vị thảo dược còn mamonde diếp cá thì thơm như nước hoa hồng bình thường."
['Tím-Unscented -9119'],[23100000000],5,"E lại gom quần legging thái nha m.n ơi 
Hè rồi ai cũng nên có á . Riêng e là có 5c trong tủ rồi 😆😆😆 
E gom giá sale xưởng nhờ sale hộ nhá 
#55k_55kk_55kkk
Đợt này chất về còn dày hơn . Chun quần dẹp hình e quay tận kho đó ạ 
chất siêu co giãn. cạp mềm chuẩn như hàng thái. chất zip thái dày dặn mị"
['Tím-Unscented -9119'],[23100000000],5,"Hàng chuẩn,k biết mk đã mua bao nhiêu lần ở đây rồi. Shop trả lời tin nhắn nhiệt tình,giao hàng nhanh(do dịch nên lúc mk nhận hàng hơi lâu), tone k mùi, lành tính và hơi dính ạ"
['Tím-Unscented -9119'],[23100000000],5,Tin tưởng shop lắm. Nên mong shop luôn giữ vững uy tín. Mua nhiều thứ đây rồi. Sẵn có voucher mình áp chứ vẫn đang còn nên chưa đánh giá sp. Mong hợp da mình ❤️
['Tím-Unscented -9119'],[22900000000],5,Shop bọc chống sốc rất cẩn thận. Đồ còn nguyên tem mác từ ngoài hộp đến tận trong sản phẩm. Giao hàng siêu nhanh. Còn được tặng kèm khẩu trang nữa. Nói chung là rất yên tâm và mình sẽ mua hàng nhiều lần nữa.
['Tím-Unscented -9119'],[23060000000],5,X ngzh nc jfzgj kgxur kgueZng kgzkg mhxutckh jfxjg jfxuf k ut kgxur khxtu khkrxug kgug khxuf h đvjfh hf hv gk kg k jg kjv nc jf nc jg jf gm hfjg jf jg
['Tím-Unscented -9119'],[24200000000],5,"Dùng tạm hình ảnh.
Toner ko mùi, thấm nhanh
Kem dưỡng phục hồi bình thường
Lotion thấm nhanh, ko bết rít, hi vọng có hiệu quả làm sáng da"
['Tím-Unscented -9119'],[23100000000],5,"Viettel TB: Goi MI2K da gia han thanh cong. Phi 2.000d/ngay co 50MB su dung den 24h, het 50MB truy cap theo goi Mobile Internet dang su dung neu co. Soan KTTK de kiem tra luu luong, soan HUY MI2K de huy gia han, tin nhan gui 191. Chi tiet LH 198 (0d). Tran trong."
['Tím-Unscented -9119'],[23100000000],5,Giao hàng siêu siêu nhanh luôn. Hôm trước hôm sau nhận được hàng luôn r ạ. Tất cả sp đều dc bọc chống sốc. Check dc mã vạch ạ. Chưa dùng nên kb chất lượng sao thôi ạ
